,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole
366,53.0,No,Travel_Rarely,Research & Development,2,3,Life Sciences,3,Female,2,2,Healthcare Representative,4,Married,10934.0,1,No,19,3.0,1,3,4.0,3,5.0,10
367,37.0,No,Travel_Rarely,Research & Development,19,1,Medical,3,Male,3,1,Research Scientist,4,Married,10453.0,1,No,24,4.0,1,2,3.0,3,7.0,2
368,38.0,No,Travel_Rarely,Research & Development,5,4,Technical Degree,3,Female,3,1,Research Scientist,4,Married,3564.0,0,Yes,12,3.0,3,1,4.0,3,9.0,2
369,30.0,Yes,Travel_Rarely,Research & Development,19,3,Medical,3,Male,4,1,Research Scientist,3,Divorced,4244.0,6,Yes,12,3.0,4,0,2.0,3,10.0,2
370,41.0,Yes,Travel_Frequently,Research & Development,2,4,Medical,3,Male,3,1,Research Scientist,3,Single,5968.0,6,No,17,4.0,4,0,3.0,2,9.0,2
371,51.0,No,Travel_Rarely,Research & Development,19,3,Medical,3,Female,3,2,Laboratory Technician,2,Divorced,13116.0,4,No,13,3.0,3,2,2.0,4,2.0,8
372,24.0,No,Non-Travel,Research & Development,16,2,Life Sciences,3,Male,3,1,Research Scientist,3,Divorced,2694.0,9,No,16,3.0,2,1,4.0,3,1.0,2
373,28.0,No,Travel_Rarely,Research & Development,2,3,Life Sciences,4,Male,3,1,Research Scientist,4,Single,4936.0,5,Yes,11,3.0,3,0,6.0,3,5.0,2
374,42.0,No,Travel_Rarely,Sales,12,3,Technical Degree,2,Male,3,2,Sales Executive,3,Single,4841.0,0,No,11,3.0,2,0,3.0,3,1.0,4
375,54.0,No,Travel_Rarely,Research & Development,3,3,Life Sciences,1,Female,3,1,Research Scientist,4,Married,17328.0,1,No,21,3.0,1,0,3.0,3,5.0,0
376,39.0,No,Travel_Rarely,Research & Development,1,3,Life Sciences,1,Female,3,2,Manufacturing Director,3,Married,6389.0,0,No,12,3.0,4,2,3.0,3,8.0,2
377,39.0,No,Travel_Rarely,Sales,7,3,Life Sciences,4,Female,2,2,Sales Executive,3,Married,6397.0,1,No,14,3.0,3,1,3.0,2,9.0,8
378,31.0,No,Non-Travel,Sales,2,4,Marketing,2,Female,1,2,Sales Representative,4,Married,9852.0,2,Yes,20,3.0,1,2,5.0,2,10.0,2
379,31.0,Yes,Travel_Frequently,Human Resources,17,4,Life Sciences,2,Male,3,1,Human Resources,3,Divorced,2791.0,0,Yes,11,3.0,2,1,4.0,2,2.0,7
380,29.0,No,Travel_Rarely,Research & Development,1,3,Medical,3,Female,3,1,Research Scientist,1,Married,9738.0,1,No,25,4.0,3,1,3.0,3,6.0,2
381,37.0,Yes,Travel_Rarely,Research & Development,2,3,Technical Degree,4,Female,3,1,Research Scientist,3,Single,7491.0,4,No,24,3.0,1,0,3.0,3,6.0,0
382,57.0,Yes,Travel_Rarely,Sales,1,4,Life Sciences,2,Male,3,2,Sales Executive,3,Divorced,4900.0,7,No,12,4.0,4,2,2.0,3,12.0,3
383,34.0,No,Travel_Rarely,Research & Development,19,4,Other,4,Male,3,2,Research Scientist,4,Divorced,2308.0,8,No,14,4.0,2,3,4.0,3,11.0,2
384,37.0,No,Travel_Rarely,Research & Development,9,3,Medical,1,Male,3,1,Research Scientist,4,Married,2564.0,0,No,13,4.0,2,1,3.0,3,5.0,10
385,46.0,No,Travel_Rarely,Sales,5,4,Life Sciences,1,Female,3,2,Sales Executive,4,Married,9071.0,1,No,11,3.0,1,2,3.0,3,3.0,0
386,34.0,No,Travel_Rarely,Research & Development,18,2,Life Sciences,3,Male,3,3,Manufacturing Director,4,Single,5337.0,2,No,11,3.0,3,0,3.0,3,10.0,2
387,33.0,Yes,Travel_Rarely,Sales,8,3,Technical Degree,4,Male,2,2,Sales Executive,1,Single,3424.0,6,No,17,3.0,3,0,3.0,2,4.0,3
388,58.0,No,Travel_Rarely,Research & Development,17,3,Technical Degree,3,Female,3,1,Research Scientist,2,Married,10312.0,0,Yes,16,3.0,4,1,3.0,2,40.0,2
389,41.0,No,Travel_Rarely,Research & Development,2,3,Medical,3,Female,3,1,Research Scientist,3,Divorced,3294.0,2,No,14,3.0,3,1,4.0,4,9.0,1
390,21.0,No,Travel_Rarely,Research & Development,1,3,Medical,4,Female,3,5,Research Director,1,Married,2716.0,3,Yes,21,3.0,3,1,0.0,3,1.0,8
391,40.0,No,Travel_Rarely,Research & Development,4,2,Life Sciences,3,Male,3,2,Laboratory Technician,2,Married,2387.0,1,No,12,4.0,2,0,3.0,2,4.0,7
392,26.0,No,Non-Travel,Research & Development,3,3,Life Sciences,3,Male,2,1,Laboratory Technician,3,Married,2570.0,1,No,18,4.0,3,2,5.0,3,7.0,0
393,46.0,No,Travel_Frequently,Research & Development,10,3,Medical,3,Female,3,2,Healthcare Representative,3,Married,5257.0,3,No,19,3.0,3,1,3.0,3,9.0,0
394,45.0,No,Non-Travel,Research & Development,28,4,Technical Degree,4,Male,2,2,Healthcare Representative,4,Married,4447.0,0,No,11,3.0,4,3,5.0,4,9.0,5
395,28.0,No,Travel_Rarely,Research & Development,16,3,Life Sciences,4,Male,2,3,Healthcare Representative,2,Single,2660.0,1,No,19,3.0,4,0,5.0,1,2.0,8
396,18.0,No,Non-Travel,Research & Development,15,2,Life Sciences,1,Male,3,1,Laboratory Technician,3,Divorced,1904.0,1,No,16,3.0,4,1,0.0,2,0.0,2
397,50.0,Yes,Travel_Rarely,Research & Development,5,2,Life Sciences,1,Male,2,1,Research Scientist,1,Divorced,7918.0,6,No,17,3.0,1,1,3.0,1,0.0,0
398,48.0,No,Travel_Rarely,Research & Development,2,4,Other,1,Female,2,2,Healthcare Representative,3,Single,12504.0,2,Yes,17,4.0,1,0,3.0,3,0.0,7
399,26.0,Yes,Travel_Rarely,Sales,1,1,Technical Degree,3,Male,1,1,Sales Representative,1,Single,2061.0,0,No,21,4.0,1,0,5.0,4,1.0,0
400,26.0,Yes,Travel_Rarely,Research & Development,10,4,Life Sciences,3,Male,3,1,Research Scientist,3,Single,2293.0,1,Yes,11,3.0,3,0,3.0,3,1.0,4
401,36.0,No,Travel_Frequently,Research & Development,7,2,Medical,3,Male,2,5,Manager,4,Married,14411.0,1,No,15,3.0,1,1,2.0,3,7.0,9
402,53.0,No,Travel_Rarely,Research & Development,12,3,Medical,4,Female,3,2,Manufacturing Director,2,Married,19094.0,4,No,21,3.0,3,0,3.0,3,14.0,4
403,27.0,No,Travel_Rarely,Sales,1,3,Life Sciences,3,Female,4,2,Sales Executive,1,Married,5769.0,2,No,19,3.0,1,2,3.0,3,6.0,3
404,27.0,No,Travel_Frequently,Research & Development,15,2,Life Sciences,3,Male,2,3,Research Director,4,Divorced,2580.0,0,Yes,14,3.0,2,1,2.0,3,4.0,10
405,33.0,No,Travel_Rarely,Sales,4,3,Life Sciences,3,Male,3,3,Sales Executive,4,Married,5487.0,2,Yes,13,3.0,4,3,2.0,3,10.0,3
406,44.0,Yes,Travel_Rarely,Research & Development,9,3,Medical,1,Male,3,1,Laboratory Technician,1,Single,2976.0,7,No,22,3.0,1,0,5.0,4,2.0,4
407,29.0,No,Travel_Rarely,Research & Development,2,3,Life Sciences,4,Female,3,3,Healthcare Representative,4,Married,3291.0,2,Yes,14,4.0,3,1,3.0,1,7.0,8
408,53.0,No,Travel_Rarely,Sales,3,4,Medical,1,Female,2,3,Sales Executive,4,Married,10169.0,4,No,11,3.0,1,1,2.0,3,33.0,9
409,26.0,Yes,Travel_Rarely,Research & Development,9,3,Medical,4,Male,2,1,Research Scientist,3,Married,5828.0,0,Yes,17,3.0,1,1,0.0,2,8.0,0
410,50.0,No,Travel_Rarely,Research & Development,4,3,Technical Degree,4,Male,2,1,Research Scientist,1,Divorced,3221.0,1,No,13,3.0,3,1,3.0,3,20.0,0
411,30.0,No,Travel_Rarely,Sales,10,2,Medical,3,Female,3,2,Sales Executive,4,Divorced,2132.0,2,Yes,11,3.0,4,1,2.0,3,5.0,2
412,41.0,No,Travel_Rarely,Sales,2,3,Life Sciences,4,Male,3,2,Sales Executive,3,Married,6032.0,1,No,14,3.0,1,1,3.0,2,5.0,3
413,35.0,No,Travel_Rarely,Research & Development,3,3,Life Sciences,3,Male,4,2,Laboratory Technician,4,Married,5021.0,2,Yes,13,4.0,2,1,2.0,2,4.0,3
414,55.0,No,Travel_Rarely,Sales,22,1,Technical Degree,3,Male,3,1,Sales Representative,3,Single,4035.0,1,No,11,3.0,3,0,2.0,3,3.0,2
415,23.0,No,Travel_Rarely,Sales,9,4,Life Sciences,2,Male,2,2,Sales Executive,3,Married,2500.0,1,No,13,3.0,4,1,2.0,3,4.0,10
416,26.0,No,Non-Travel,Research & Development,2,3,Medical,3,Male,3,4,Research Director,3,Married,4969.0,5,No,16,3.0,4,0,6.0,3,2.0,3
417,49.0,No,Travel_Rarely,Sales,24,1,Marketing,2,Female,2,4,Sales Executive,4,Married,6567.0,0,No,11,3.0,1,1,2.0,2,15.0,9
418,37.0,No,Travel_Frequently,Research & Development,8,4,Life Sciences,3,Female,3,2,Healthcare Representative,3,Married,2157.0,1,No,12,3.0,4,1,5.0,3,3.0,11
419,32.0,No,Non-Travel,Sales,2,1,Life Sciences,4,Female,1,2,Sales Executive,4,Single,2332.0,3,No,20,4.0,2,0,3.0,3,3.0,2
420,44.0,No,Travel_Rarely,Research & Development,7,3,Medical,2,Male,3,5,Research Director,4,Divorced,5933.0,0,Yes,14,3.0,4,1,2.0,2,5.0,7
421,38.0,No,Travel_Rarely,Research & Development,23,3,Medical,2,Male,2,2,Healthcare Representative,4,Married,4855.0,0,No,21,3.0,2,1,2.0,3,5.0,0
422,58.0,No,Travel_Rarely,Sales,16,1,Life Sciences,4,Male,3,2,Sales Executive,3,Married,2372.0,8,No,15,3.0,3,2,3.0,2,2.0,1
423,29.0,No,Travel_Rarely,Human Resources,13,3,Human Resources,3,Female,3,1,Human Resources,2,Married,2642.0,4,No,13,3.0,2,1,6.0,3,1.0,2
424,38.0,No,Travel_Rarely,Sales,28,3,Other,3,Male,1,3,Sales Executive,1,Divorced,6389.0,3,No,15,3.0,3,1,2.0,3,1.0,0
425,52.0,No,Travel_Rarely,Sales,10,3,Life Sciences,3,Male,3,1,Sales Representative,3,Single,19999.0,1,No,11,3.0,3,0,5.0,3,10.0,0
426,42.0,No,Travel_Frequently,Sales,2,4,Life Sciences,3,Male,3,2,Sales Representative,4,Single,10124.0,3,No,15,3.0,3,0,3.0,2,20.0,7
427,26.0,No,Travel_Rarely,Research & Development,20,2,Medical,3,Male,3,4,Healthcare Representative,4,Married,2373.0,0,Yes,14,3.0,2,0,2.0,3,3.0,7
428,38.0,No,Non-Travel,Sales,10,4,Marketing,2,Male,3,2,Sales Executive,3,Single,7779.0,1,No,14,4.0,2,0,0.0,2,11.0,4
429,46.0,No,Travel_Rarely,Research & Development,25,3,Life Sciences,4,Male,2,2,Manufacturing Director,2,Single,10096.0,1,No,13,3.0,4,0,1.0,3,7.0,3
430,29.0,No,Travel_Rarely,Research & Development,15,3,Life Sciences,4,Female,2,1,Research Scientist,1,Married,6377.0,0,No,19,3.0,4,1,3.0,2,3.0,6
432,41.0,No,Travel_Frequently,Sales,2,4,Marketing,3,Female,3,1,Sales Representative,3,Married,5467.0,6,No,18,3.0,4,1,4.0,3,6.0,3
433,40.0,No,Travel_Rarely,Research & Development,8,1,Life Sciences,2,Male,1,1,Laboratory Technician,1,Married,7412.0,1,No,15,3.0,1,1,2.0,2,20.0,3
434,32.0,No,Travel_Rarely,Sales,10,2,Medical,3,Male,1,2,Sales Executive,2,Single,4883.0,1,No,13,3.0,1,0,3.0,3,10.0,2
435,45.0,No,Travel_Rarely,Research & Development,10,3,Medical,2,Female,3,1,Research Scientist,2,Married,4627.0,1,No,11,3.0,1,1,6.0,1,9.0,4
436,35.0,No,Travel_Rarely,Research & Development,8,1,Medical,2,Female,2,2,Manufacturing Director,4,Married,3058.0,1,Yes,15,3.0,3,1,3.0,2,2.0,7
437,35.0,No,Travel_Rarely,Research & Development,13,3,Other,3,Male,2,1,Laboratory Technician,2,Married,4157.0,1,No,20,3.0,3,1,2.0,3,4.0,2
438,35.0,No,Travel_Rarely,Research & Development,9,3,Life Sciences,1,Female,3,1,Research Scientist,3,Single,2610.0,4,No,13,3.0,3,0,4.0,2,5.0,2
439,32.0,No,Non-Travel,Sales,14,2,Medical,3,Female,2,2,Sales Executive,3,Single,2827.0,7,No,17,3.0,1,0,3.0,3,1.0,4
440,42.0,No,Travel_Rarely,Research & Development,22,3,Life Sciences,4,Male,3,2,Research Scientist,4,Divorced,17665.0,3,Yes,14,3.0,1,2,3.0,2,22.0,2
441,32.0,Yes,Travel_Rarely,Research & Development,10,2,Life Sciences,1,Male,2,1,Laboratory Technician,3,Single,3730.0,1,No,20,3.0,3,0,4.0,1,3.0,2
442,46.0,No,Travel_Rarely,Sales,2,5,Life Sciences,1,Male,4,3,Sales Executive,3,Single,17465.0,0,No,18,3.0,4,0,3.0,3,10.0,7
443,34.0,No,Travel_Rarely,Research & Development,7,3,Other,3,Female,4,1,Laboratory Technician,1,Single,2972.0,0,No,12,3.0,4,0,4.0,3,1.0,7
444,45.0,No,Travel_Rarely,Research & Development,6,4,Other,1,Female,3,2,Research Scientist,3,Single,5906.0,1,No,14,3.0,3,0,2.0,3,9.0,13
445,36.0,No,Travel_Rarely,Research & Development,29,1,Medical,2,Female,3,1,Laboratory Technician,1,Divorced,19740.0,1,No,13,4.0,2,3,2.0,4,7.0,2
446,46.0,No,Travel_Rarely,Research & Development,14,4,Medical,3,Male,4,5,Research Director,2,Single,18880.0,8,No,11,3.0,4,0,1.0,3,22.0,15
447,55.0,Yes,Non-Travel,Sales,8,2,Technical Degree,2,Female,3,2,Sales Executive,3,Married,18844.0,3,Yes,14,4.0,1,1,3.0,3,3.0,3
448,31.0,No,Travel_Frequently,Research & Development,1,4,Life Sciences,2,Female,3,1,Laboratory Technician,2,Married,4723.0,3,No,22,3.0,3,1,3.0,3,1.0,2
449,43.0,No,Travel_Frequently,Research & Development,5,5,Medical,2,Male,4,1,Research Scientist,3,Married,5679.0,2,Yes,12,3.0,1,0,3.0,2,8.0,2
451,42.0,No,Travel_Rarely,Sales,7,2,Medical,1,Female,4,2,Sales Executive,1,Divorced,4089.0,1,Yes,24,3.0,3,1,3.0,3,10.0,0
452,49.0,No,Travel_Rarely,Research & Development,10,3,Medical,3,Female,3,3,Research Director,3,Married,4507.0,4,No,20,3.0,3,1,2.0,4,5.0,7
453,29.0,No,Travel_Rarely,Human Resources,9,3,Human Resources,3,Female,3,2,Human Resources,4,Married,2514.0,0,Yes,19,4.0,4,0,1.0,1,7.0,9
454,31.0,No,Travel_Rarely,Research & Development,7,4,Life Sciences,3,Female,3,2,Laboratory Technician,3,Divorced,2074.0,1,No,13,3.0,1,3,2.0,2,1.0,7
455,38.0,No,Travel_Rarely,Sales,8,2,Other,1,Female,3,2,Sales Executive,3,Divorced,13582.0,0,Yes,22,3.0,2,1,3.0,2,15.0,3
456,27.0,No,Travel_Rarely,Sales,2,3,Medical,1,Male,2,2,Sales Executive,2,Married,3058.0,2,No,19,3.0,2,2,3.0,3,5.0,0
457,30.0,No,Non-Travel,Research & Development,2,3,Medical,2,Female,3,2,Laboratory Technician,2,Single,4736.0,5,No,11,3.0,4,0,2.0,3,2.0,2
458,41.0,No,Travel_Rarely,Research & Development,2,2,Life Sciences,4,Female,3,1,Laboratory Technician,4,Married,5003.0,1,Yes,23,3.0,3,1,6.0,3,2.0,0
459,36.0,No,Travel_Rarely,Research & Development,14,1,Life Sciences,3,Female,3,2,Healthcare Representative,4,Married,4502.0,0,Yes,17,3.0,1,1,2.0,2,13.0,8
460,28.0,Yes,Travel_Rarely,Sales,24,3,Technical Degree,3,Male,4,1,Sales Representative,1,Single,4558.0,1,No,17,3.0,4,0,2.0,3,10.0,0
461,31.0,No,Travel_Rarely,Sales,9,3,Life Sciences,4,Male,3,5,Manager,2,Divorced,2329.0,4,Yes,24,3.0,1,1,2.0,2,7.0,10
462,38.0,No,Travel_Rarely,Sales,1,3,Marketing,3,Female,3,2,Sales Executive,1,Divorced,5433.0,0,No,17,3.0,4,1,2.0,3,11.0,3
463,43.0,No,Travel_Frequently,Sales,3,4,Marketing,3,Female,2,4,Manager,1,Married,4739.0,1,No,11,3.0,1,0,3.0,4,3.0,6
464,31.0,No,Non-Travel,Research & Development,1,4,Technical Degree,4,Male,3,2,Research Scientist,1,Married,4345.0,4,No,14,3.0,2,1,2.0,2,5.0,5
465,34.0,Yes,Travel_Rarely,Research & Development,11,3,Medical,4,Male,2,1,Research Scientist,1,Single,6549.0,1,Yes,15,3.0,1,0,2.0,3,8.0,0
466,26.0,No,Non-Travel,Research & Development,1,4,Medical,3,Male,3,1,Laboratory Technician,3,Divorced,3500.0,7,No,14,3.0,3,3,2.0,3,6.0,2
467,22.0,No,Non-Travel,Sales,7,3,Life Sciences,4,Male,3,2,Sales Executive,2,Married,2935.0,0,No,17,3.0,3,1,2.0,3,1.0,2
468,35.0,No,Travel_Rarely,Research & Development,5,2,Other,2,Female,3,1,Laboratory Technician,3,Married,5204.0,4,No,17,3.0,4,1,3.0,3,10.0,2
469,47.0,No,Travel_Rarely,Research & Development,2,3,Life Sciences,3,Female,1,2,Manufacturing Director,4,Single,4163.0,2,No,20,3.0,3,0,0.0,3,9.0,4
470,45.0,No,Travel_Rarely,Sales,15,2,Medical,3,Male,3,2,Sales Executive,1,Single,5715.0,1,No,12,3.0,4,0,2.0,4,5.0,8
471,30.0,Yes,Travel_Rarely,Research & Development,2,4,Medical,1,Male,1,1,Research Scientist,4,Married,2064.0,5,Yes,13,4.0,4,0,3.0,2,5.0,2
472,38.0,No,Non-Travel,Research & Development,8,4,Other,4,Female,3,2,Research Scientist,4,Married,4810.0,9,No,14,3.0,1,2,5.0,3,10.0,9
473,43.0,No,Travel_Frequently,Sales,4,4,Marketing,1,Male,3,1,Sales Representative,4,Divorced,2258.0,4,No,17,4.0,3,1,1.0,3,3.0,8
474,35.0,Yes,Travel_Rarely,Sales,19,2,Marketing,3,Male,2,1,Sales Representative,2,Married,9582.0,1,Yes,18,4.0,3,3,3.0,3,8.0,0
475,29.0,No,Travel_Rarely,Research & Development,6,1,Medical,1,Male,3,1,Research Scientist,3,Married,5373.0,0,No,20,3.0,4,0,5.0,3,5.0,2
476,20.0,No,Travel_Rarely,Research & Development,10,3,Life Sciences,4,Male,3,1,Research Scientist,2,Divorced,2044.0,0,No,14,3.0,4,2,3.0,2,2.0,5
477,30.0,No,Travel_Rarely,Sales,26,5,Marketing,3,Male,2,5,Manager,4,Married,3833.0,1,No,21,4.0,3,1,2.0,3,2.0,6
478,44.0,Yes,Travel_Rarely,Sales,9,3,Medical,2,Male,3,1,Sales Representative,4,Single,10482.0,1,No,13,3.0,3,0,2.0,2,20.0,0
479,32.0,No,Travel_Rarely,Sales,5,4,Medical,1,Female,3,2,Sales Executive,4,Single,5055.0,1,No,14,3.0,2,0,3.0,3,7.0,2
480,26.0,No,Travel_Rarely,Research & Development,25,3,Technical Degree,4,Male,2,3,Manufacturing Director,2,Married,3022.0,3,No,16,3.0,1,0,2.0,3,5.0,10
481,53.0,No,Travel_Rarely,Sales,21,3,Life Sciences,4,Male,3,4,Manager,4,Married,11836.0,4,Yes,13,3.0,3,1,3.0,2,2.0,0
482,45.0,No,Travel_Rarely,Sales,7,1,Marketing,4,Female,3,1,Sales Representative,2,Single,4850.0,0,No,14,3.0,1,0,3.0,3,5.0,2
483,38.0,No,Travel_Rarely,Research & Development,5,4,Technical Degree,3,Female,3,3,Manufacturing Director,2,Single,2288.0,0,No,13,3.0,4,0,3.0,3,2.0,6
484,23.0,No,Travel_Rarely,Research & Development,7,3,Other,2,Male,2,3,Healthcare Representative,3,Single,3505.0,8,No,24,3.0,3,0,3.0,3,2.0,2
485,35.0,No,Travel_Rarely,Research & Development,1,2,Life Sciences,4,Female,2,2,Manufacturing Director,4,Married,10377.0,6,No,22,3.0,1,2,6.0,1,13.0,2
486,39.0,No,Travel_Frequently,Research & Development,5,1,Technical Degree,3,Male,2,3,Research Director,4,Divorced,19197.0,1,Yes,16,3.0,2,1,3.0,3,21.0,8
487,44.0,No,Non-Travel,Research & Development,4,3,Technical Degree,4,Male,3,2,Research Scientist,2,Divorced,2290.0,5,No,15,3.0,4,2,3.0,2,0.0,8
488,38.0,No,Travel_Rarely,Research & Development,1,3,Life Sciences,4,Female,3,1,Laboratory Technician,4,Single,3702.0,1,No,15,3.0,3,0,3.0,4,5.0,0
489,32.0,Yes,Travel_Rarely,Research & Development,18,1,Other,4,Female,3,1,Research Scientist,4,Single,5878.0,1,No,19,3.0,1,0,3.0,2,9.0,0
490,38.0,No,Travel_Rarely,Research & Development,2,2,Medical,4,Male,4,1,Research Scientist,3,Divorced,8628.0,1,No,12,3.0,4,2,0.0,2,8.0,3
491,45.0,No,Travel_Rarely,Research & Development,5,4,Life Sciences,3,Female,2,1,Research Scientist,4,Married,17650.0,1,No,13,3.0,3,1,4.0,2,9.0,2
492,30.0,No,Travel_Rarely,Human Resources,19,4,Medical,3,Female,3,3,Human Resources,2,Married,6577.0,2,No,15,3.0,3,1,6.0,4,5.0,7
493,37.0,No,Non-Travel,Research & Development,17,2,Medical,3,Male,3,2,Laboratory Technician,1,Divorced,7642.0,1,No,12,3.0,4,1,2.0,3,10.0,0
494,30.0,No,Travel_Rarely,Research & Development,28,2,Medical,4,Female,3,2,Research Scientist,4,Married,5209.0,1,No,13,3.0,4,2,4.0,3,1.0,8
495,49.0,Yes,Travel_Rarely,Sales,26,4,Marketing,1,Female,3,2,Sales Executive,4,Married,2587.0,1,Yes,11,3.0,3,0,2.0,3,2.0,7
496,39.0,No,Travel_Rarely,Research & Development,28,4,Medical,4,Male,2,1,Research Scientist,1,Single,13341.0,1,No,14,3.0,2,0,3.0,1,20.0,4
497,41.0,No,Travel_Rarely,Research & Development,3,3,Medical,4,Male,3,1,Research Scientist,4,Married,2127.0,1,No,11,3.0,3,3,5.0,2,4.0,0
498,45.0,No,Travel_Rarely,Sales,8,4,Technical Degree,4,Female,2,4,Sales Executive,2,Married,5770.0,6,No,17,3.0,2,1,3.0,3,10.0,8
499,46.0,No,Travel_Rarely,Research & Development,8,2,Other,1,Female,3,3,Laboratory Technician,2,Married,10453.0,4,No,11,4.0,3,1,2.0,2,24.0,9
500,29.0,Yes,Travel_Rarely,Research & Development,3,3,Life Sciences,3,Male,3,1,Laboratory Technician,3,Single,1611.0,1,No,13,3.0,3,0,3.0,3,11.0,0
501,36.0,Yes,Non-Travel,Sales,1,4,Life Sciences,1,Female,2,3,Sales Executive,3,Married,15427.0,5,No,11,3.0,3,0,6.0,1,3.0,1
502,24.0,No,Travel_Frequently,Sales,1,4,Life Sciences,4,Male,3,2,Sales Executive,2,Married,2400.0,0,No,15,3.0,1,2,3.0,3,2.0,13
503,46.0,No,Travel_Frequently,Research & Development,7,4,Life Sciences,1,Male,3,3,Research Director,2,Single,3692.0,0,No,11,3.0,3,0,2.0,3,11.0,6
504,28.0,No,Travel_Rarely,Sales,26,3,Marketing,3,Female,3,2,Sales Executive,1,Married,2783.0,1,No,14,3.0,2,1,2.0,2,2.0,7
505,29.0,No,Travel_Rarely,Research & Development,1,2,Life Sciences,2,Male,2,1,Research Scientist,3,Married,5869.0,1,Yes,13,3.0,3,1,2.0,2,5.0,0
506,41.0,Yes,Travel_Rarely,Research & Development,2,3,Medical,4,Female,3,5,Manager,1,Married,13570.0,5,Yes,13,4.0,4,1,3.0,3,20.0,2
507,29.0,No,Travel_Rarely,Research & Development,2,3,Life Sciences,4,Male,3,1,Research Scientist,3,Married,9637.0,4,No,13,3.0,2,1,2.0,3,2.0,2
508,43.0,No,Travel_Rarely,Human Resources,8,2,Medical,4,Female,4,1,Human Resources,2,Single,6214.0,9,No,18,3.0,4,0,2.0,3,16.0,2
509,26.0,Yes,Travel_Rarely,Research & Development,9,2,Medical,3,Female,2,1,Research Scientist,1,Single,2148.0,0,Yes,22,3.0,1,0,5.0,3,5.0,2
510,45.0,No,Travel_Rarely,Research & Development,2,1,Life Sciences,3,Male,3,4,Manager,3,Married,2654.0,0,Yes,13,4.0,4,0,3.0,2,2.0,8
511,36.0,No,Travel_Rarely,Research & Development,19,3,Other,4,Female,2,1,Laboratory Technician,1,Divorced,2559.0,1,No,11,3.0,1,2,2.0,3,17.0,7
512,39.0,No,Non-Travel,Sales,17,4,Life Sciences,3,Female,3,2,Sales Executive,1,Married,4233.0,3,Yes,15,3.0,4,3,1.0,3,3.0,7
513,34.0,No,Travel_Rarely,Human Resources,3,3,Human Resources,3,Male,4,2,Human Resources,2,Married,2661.0,9,No,15,3.0,3,1,2.0,1,2.0,3
514,43.0,No,Travel_Rarely,Research & Development,6,3,Life Sciences,4,Female,2,1,Research Scientist,3,Married,4522.0,1,No,13,3.0,3,1,3.0,3,5.0,2
515,27.0,No,Travel_Rarely,Sales,10,3,Marketing,3,Female,2,3,Sales Executive,4,Married,6214.0,2,Yes,19,3.0,3,1,3.0,3,8.0,2
516,53.0,No,Travel_Rarely,Sales,14,3,Technical Degree,3,Female,3,1,Sales Representative,3,Divorced,2610.0,1,Yes,18,4.0,4,2,2.0,3,14.0,2
517,40.0,Yes,Travel_Rarely,Sales,24,1,Life Sciences,3,Male,1,1,Sales Representative,4,Single,3617.0,1,Yes,14,3.0,4,0,2.0,3,1.0,0
518,42.0,No,Travel_Rarely,Research & Development,3,3,Medical,4,Male,3,4,Healthcare Representative,2,Single,18303.0,3,No,18,3.0,3,0,3.0,3,1.0,7
519,28.0,No,Travel_Rarely,Research & Development,5,4,Other,2,Male,4,1,Research Scientist,4,Married,4221.0,3,No,17,3.0,4,2,3.0,3,5.0,2
520,40.0,No,Travel_Rarely,Sales,2,1,Life Sciences,3,Female,3,1,Sales Representative,1,Divorced,5715.0,1,No,12,3.0,3,3,5.0,3,5.0,0
521,34.0,No,Travel_Rarely,Research & Development,5,2,Medical,4,Female,3,2,Manufacturing Director,4,Divorced,5121.0,7,No,16,3.0,3,2,3.0,2,0.0,2
522,40.0,No,Travel_Rarely,Sales,25,3,Medical,3,Female,2,3,Sales Executive,4,Divorced,13237.0,5,No,13,3.0,3,1,3.0,3,20.0,0
523,36.0,Yes,Travel_Rarely,Research & Development,24,3,Medical,3,Female,3,1,Laboratory Technician,2,Married,7412.0,1,Yes,17,3.0,3,3,3.0,3,9.0,1
524,49.0,No,Travel_Rarely,Research & Development,1,4,Life Sciences,4,Female,4,1,Research Scientist,3,Single,7403.0,3,No,13,3.0,3,0,3.0,3,26.0,2
525,38.0,No,Non-Travel,Research & Development,26,3,Medical,2,Female,3,2,Research Scientist,2,Divorced,9679.0,1,No,11,3.0,1,1,4.0,3,5.0,7
526,31.0,No,Travel_Rarely,Research & Development,5,3,Technical Degree,4,Male,3,1,Research Scientist,1,Divorced,3477.0,5,No,14,3.0,4,1,6.0,3,5.0,2
527,34.0,No,Travel_Rarely,Research & Development,18,4,Medical,4,Female,3,3,Manufacturing Director,4,Single,4599.0,6,No,12,4.0,4,0,2.0,2,15.0,7
528,33.0,No,Travel_Rarely,Research & Development,27,3,Technical Degree,4,Female,4,1,Laboratory Technician,2,Divorced,3838.0,5,No,12,3.0,3,1,5.0,3,5.0,4
